model_type,polynomial,regularization,use_momentum,method,initialization,learning_rate,cv_mse,cv_r2,cv_r2_std
polynomial,True,normal,True,mini-batch,zeros,0.001,0.13404324125533945,0.7691984176807666,0.18495053953866578
normal,False,normal,True,batch,zeros,0.01,0.1407621074116645,0.7590051621828342,0.017361335044552936
ridge,False,ridge,True,batch,zeros,0.01,0.14079295045011833,0.758952774950728,0.017352862424488556
lasso,False,lasso,True,batch,zeros,0.01,0.14101534532271026,0.7585747738231886,0.017256256846517284
normal,False,normal,True,stochastic,xavier,0.01,0.15287952047321493,0.7384249590449741,0.02455966404224402
lasso,False,lasso,True,batch,xavier,0.01,0.15567256704387805,0.7329634517788035,0.032832288988942485
ridge,False,ridge,True,batch,xavier,0.01,0.15569454394524596,0.7329191193912978,0.03304230467259165
normal,False,normal,True,batch,xavier,0.01,0.1556968531027751,0.7329130718949453,0.03309748752988629
polynomial,True,normal,False,stochastic,zeros,0.01,0.16022346776371416,0.7241488624738125,0.19965892425403023
ridge,False,ridge,True,stochastic,xavier,0.01,0.16308559692408547,0.7203405252734368,0.03714109545941566
lasso,False,lasso,True,stochastic,xavier,0.01,0.16823476729943607,0.7113923951739781,0.04896166518369607
polynomial,True,normal,True,stochastic,zeros,0.001,0.1849264952027362,0.6806929748848967,0.32436034881870346
polynomial,True,normal,True,batch,zeros,0.01,0.18960403682476504,0.6757773574451985,0.03568881197426417
polynomial,True,normal,False,mini-batch,zeros,0.001,0.2018961973555872,0.654696206112904,0.01956643392473124
polynomial,True,normal,True,mini-batch,zeros,0.0001,0.20251103211794685,0.6536429271555965,0.019827162912743595
normal,False,normal,False,mini-batch,zeros,0.001,0.21714230703237175,0.628898365755914,0.009403020685236792
ridge,False,ridge,False,mini-batch,zeros,0.001,0.2172259103533738,0.6287557703721455,0.00939949904526251
lasso,False,lasso,False,mini-batch,zeros,0.001,0.21769499846837603,0.6279548485073316,0.009380381982982706
normal,False,normal,True,mini-batch,zeros,0.0001,0.21813116033693697,0.6272144059200313,0.009127961134471072
ridge,False,ridge,True,mini-batch,zeros,0.0001,0.21821153330430035,0.6270773255038424,0.009124362405004971
lasso,False,lasso,True,mini-batch,zeros,0.0001,0.21868272464611568,0.6262728647532201,0.009104315874955683
normal,False,normal,False,mini-batch,xavier,0.001,0.24909468252764358,0.5723152934853337,0.0520133655537356
