model_type,polynomial,regularization,use_momentum,method,initialization,learning_rate,cv_mse,cv_mse_std,cv_r2,cv_r2_std
lasso,False,lasso,True,mini-batch,xavier,0.01,0.06893430011741652,0.0029397724168467834,0.8782916047069834,0.002620795220559936
lasso,False,lasso,True,mini-batch,zeros,0.01,0.06900662603662702,0.0031014923424275667,0.8781799010445173,0.0024177438868853572
normal,False,normal,False,stochastic,zeros,0.01,0.06905225998163886,0.003996700033814272,0.8781657327101087,0.002992471465983409
ridge,False,ridge,False,stochastic,xavier,0.01,0.06903516444718397,0.0018933484459487636,0.8780520601935541,0.0026443037729674155
normal,False,normal,True,stochastic,zeros,0.001,0.06929292321549232,0.0033402746831082473,0.8777008325994459,0.0019919172118154273
ridge,False,ridge,False,stochastic,zeros,0.01,0.06944886821259294,0.00430910344080601,0.8774813796028818,0.003503168312859253
normal,False,normal,True,stochastic,xavier,0.001,0.06963218426343534,0.003079732196812796,0.8770503465004513,0.0034624872511172973
ridge,False,ridge,True,stochastic,zeros,0.001,0.0697312947774134,0.0036975442169984917,0.8769452181608853,0.0025613221582288436
lasso,False,lasso,False,stochastic,xavier,0.01,0.06979734113614604,0.0021246339965616443,0.8767167840857184,0.002659573010848734
ridge,False,ridge,True,stochastic,xavier,0.001,0.0700887913272139,0.0033091333299728035,0.876252284813833,0.0037712507690994897
lasso,False,lasso,False,stochastic,zeros,0.01,0.07027225337069076,0.0045242711359367305,0.8760378309599952,0.003812582285057642
lasso,False,lasso,True,stochastic,zeros,0.001,0.0706180919809325,0.003968021536097443,0.8753912482221853,0.0030279194697460433
lasso,False,lasso,True,stochastic,xavier,0.001,0.07086036292824915,0.0035216289567334166,0.8748988727484667,0.004019611354547878
polynomial,True,normal,False,stochastic,zeros,0.0001,0.07270015422688696,0.0027002948470103523,0.8714970883959688,0.006345539719528223
polynomial,True,normal,True,stochastic,zeros,0.001,0.07471311882138475,0.004870050553096047,0.8681409349036973,0.006241000883191523
polynomial,True,normal,False,mini-batch,zeros,0.01,0.07490555803537016,0.0029504515295283263,0.8676003375261994,0.006750468964528838
polynomial,True,normal,True,mini-batch,zeros,0.001,0.07495922643835076,0.002973696458691505,0.86750158156887,0.0068642206095829005
polynomial,True,normal,True,mini-batch,xavier,0.001,0.07588381432554529,0.0038931862008367572,0.8659544200370964,0.0064752018352871215
polynomial,True,normal,False,mini-batch,xavier,0.01,0.07676639373281594,0.00426358235124668,0.8643403158708617,0.008208485762307205
polynomial,True,normal,False,stochastic,xavier,0.0001,0.07731720936337738,0.006490729328190127,0.8636178808688607,0.008318604771956324
normal,False,normal,False,stochastic,zeros,0.0001,0.07893902022501623,0.0055160716948307745,0.8607604305613495,0.005334510721820224
ridge,False,ridge,False,stochastic,zeros,0.0001,0.07900957402671491,0.005541479608520759,0.8606367023633901,0.0053828123039161135
lasso,False,lasso,False,stochastic,zeros,0.0001,0.07929772792063136,0.005428662154781265,0.8601212659012818,0.005192883172008696
polynomial,True,normal,False,stochastic,zeros,0.01,0.08106995644479406,0.010923010053495759,0.8572316770035989,0.01469813955799879
normal,False,normal,False,mini-batch,zeros,0.01,0.08118444414668058,0.005910574653615968,0.8567847645264994,0.006505853475216436
ridge,False,ridge,False,mini-batch,zeros,0.01,0.08124891593780292,0.0059337951458988195,0.8566715479584811,0.0065498109630071286
normal,False,normal,True,mini-batch,zeros,0.001,0.08128320501676592,0.005907663595090045,0.8566103006302432,0.006480568847851135
lasso,False,lasso,False,stochastic,xavier,0.0001,0.0813267364765525,0.005837631907060281,0.8565801282439953,0.0051861598015014295
