model_type,polynomial,regularization,use_momentum,method,initialization,learning_rate,cv_mse,cv_mse_std,cv_r2,cv_r2_std
normal,False,normal,True,stochastic,zeros,0.001,0.07893551115187199,0.005496455913424026,0.8607655904070795,0.0053033478543812835
normal,False,normal,False,stochastic,zeros,0.0001,0.07893902022501623,0.0055160716948307745,0.8607604305613495,0.005334510721820224
ridge,False,ridge,True,stochastic,zeros,0.001,0.07900626559665494,0.005521697713999778,0.8606415028275082,0.0053513432542301445
ridge,False,ridge,False,stochastic,zeros,0.0001,0.07900957402671491,0.005541479608520746,0.8606367023633901,0.0053828123039161135
lasso,False,lasso,True,stochastic,zeros,0.001,0.07929458481542792,0.0054088820469210975,0.8601257723778393,0.0051616588487589255
lasso,False,lasso,False,stochastic,zeros,0.0001,0.07929772792063136,0.005428662154781266,0.8601212659012818,0.0051928831720086865
polynomial,True,normal,False,stochastic,zeros,0.01,0.08106995644479406,0.010923010053495762,0.8572316770035989,0.01469813955799879
normal,False,normal,False,mini-batch,zeros,0.01,0.0811844441466806,0.005910574653615966,0.8567847645264994,0.006505853475216436
ridge,False,ridge,False,mini-batch,zeros,0.01,0.08124891593780292,0.005933795145898818,0.8566715479584811,0.006549810963007109
lasso,False,lasso,False,stochastic,xavier,0.0001,0.08127770706749674,0.005830902648670522,0.85666633653001,0.005177368388465927
lasso,False,lasso,True,stochastic,xavier,0.001,0.08129488129879127,0.0058225709150255475,0.856635651125228,0.005160220685325733
normal,False,normal,False,stochastic,xavier,0.0001,0.0813300100198193,0.005948666112112359,0.8565815972952209,0.005367505390450732
normal,False,normal,True,stochastic,xavier,0.001,0.08134668015298871,0.005941352934380572,0.8565518325323465,0.005353013412201435
ridge,False,ridge,False,stochastic,xavier,0.0001,0.08135534948465253,0.005958703336815598,0.8565371850386636,0.005384174694110974
ridge,False,ridge,True,stochastic,xavier,0.001,0.08137237324408503,0.005951182679646668,0.8565067923715535,0.005369093636488418
lasso,False,lasso,False,mini-batch,zeros,0.01,0.08153321369343774,0.005835260465873915,0.8561642139151179,0.0063884503148760085
lasso,False,lasso,False,mini-batch,xavier,0.01,0.08362973945843527,0.005785077972368234,0.8524904699767033,0.005312117362052779
normal,False,normal,False,mini-batch,xavier,0.01,0.0836638204448148,0.005890029117516397,0.8524382294445936,0.005434400963628417
ridge,False,ridge,False,mini-batch,xavier,0.01,0.08368515125045124,0.0058974023134066985,0.852400545513507,0.005453309016638858
polynomial,True,normal,False,stochastic,xavier,0.01,0.09277792344535989,0.02160982029377378,0.837058813091876,0.032017903537037554
normal,False,normal,True,stochastic,zeros,0.0001,0.18538289057267013,0.01203097334236155,0.672841745852371,0.014429869357218832
ridge,False,ridge,True,stochastic,zeros,0.0001,0.1854771419339707,0.01203197214600966,0.6726752368770545,0.014428246272232484
lasso,False,lasso,True,stochastic,zeros,0.0001,0.1859387681386635,0.012016446640970464,0.6718584922808072,0.014397109359567447
polynomial,True,normal,True,stochastic,zeros,0.0001,0.18663774881826073,0.010487361715000407,0.670537297486537,0.012793787798692509
polynomial,True,normal,False,mini-batch,zeros,0.001,0.1960664017926324,0.009780084353620173,0.6538066884660674,0.012783021125711105
polynomial,True,normal,True,mini-batch,zeros,0.01,0.19650820987980092,0.010502895362773393,0.653042472249892,0.014062647265115113
normal,False,normal,True,stochastic,xavier,0.0001,0.20228182506562634,0.016894209925324723,0.6426347511091249,0.029736167511659056
ridge,False,ridge,True,stochastic,xavier,0.0001,0.20234925409601812,0.016885657785750508,0.6425155894169228,0.02972135471109342
lasso,False,lasso,True,stochastic,xavier,0.0001,0.20251911327019564,0.016834040245583163,0.64221322749148,0.029657288475790744
normal,False,normal,True,mini-batch,zeros,0.01,0.21255617885953879,0.01361772382275383,0.6248388914204186,0.017175239064854027
ridge,False,ridge,True,mini-batch,zeros,0.01,0.21263995449811154,0.013620118272877742,0.6246909264084292,0.017176951502686836
normal,False,normal,False,mini-batch,zeros,0.001,0.21304557249600148,0.01165092087611988,0.6239389644278068,0.013055344434689645
lasso,False,lasso,True,mini-batch,zeros,0.01,0.21310879418887044,0.013615599414244835,0.6238619424776322,0.017164270079573676
ridge,False,ridge,False,mini-batch,zeros,0.001,0.21312608748759088,0.011651615681825959,0.6237967391102721,0.013053051740304644
lasso,False,lasso,False,mini-batch,zeros,0.001,0.2135958943961424,0.011638689528717798,0.6229659238364402,0.013020772896654058
normal,False,normal,False,mini-batch,xavier,0.001,0.2338847248058192,0.019729621946102074,0.5865895532115513,0.037139604194399725
ridge,False,ridge,False,mini-batch,xavier,0.001,0.23393943046049678,0.019720061596129143,0.5864929777806466,0.03712355475832823
lasso,False,lasso,False,mini-batch,xavier,0.001,0.2340919836603747,0.01967076796814196,0.586221987436459,0.037060133545925335
normal,False,normal,True,mini-batch,xavier,0.01,0.23482283324732078,0.021477671567194524,0.5848954566091802,0.04045928919102344
ridge,False,ridge,True,mini-batch,xavier,0.01,0.23488137007499535,0.021470821467242496,0.5847920742400773,0.040448327748766486
lasso,False,lasso,True,mini-batch,xavier,0.01,0.23504372549861677,0.021429787405972168,0.5845035532793584,0.04040009968803888
polynomial,True,normal,True,stochastic,xavier,0.0001,0.24881222039162015,0.04145305911579314,0.5602503301127889,0.07448379769194084
polynomial,True,normal,False,mini-batch,xavier,0.001,0.24957706785809647,0.03418734860397032,0.5586044056291621,0.06396598317210839
polynomial,True,normal,True,mini-batch,xavier,0.01,0.2528053935512523,0.03380971773614453,0.5528227500472942,0.06386060417885449
polynomial,True,normal,False,batch,zeros,0.01,0.3539251700613994,0.01388047104340808,0.3750667187910758,0.01243298858227883
normal,False,normal,False,batch,zeros,0.01,0.4023037192477926,0.01507366677680326,0.28969439240841705,0.007700507040333949
ridge,False,ridge,False,batch,zeros,0.01,0.4023193414602154,0.015074043157742122,0.28966680660237787,0.007699848933493221
lasso,False,lasso,False,batch,zeros,0.01,0.4026353087346185,0.015078767221507089,0.28910873880091914,0.007681036003192675
lasso,False,lasso,False,batch,xavier,0.01,0.45511419652934404,0.04799828548821373,0.19473246360293958,0.09548794138820502
ridge,False,ridge,False,batch,xavier,0.01,0.4551520665197234,0.04805903900243227,0.19466562671497797,0.09558375253543491
normal,False,normal,False,batch,xavier,0.01,0.4551560925876834,0.0480697708995566,0.19465822547331457,0.0956029776357378
polynomial,True,normal,False,batch,xavier,0.01,0.46842832255245537,0.08272594551900841,0.17126621807579828,0.15313870926748188
polynomial,True,normal,True,mini-batch,zeros,0.001,0.47169872061429235,0.01730248888512159,0.16713941624578157,0.009482283290501792
polynomial,True,normal,False,mini-batch,zeros,0.0001,0.47330049498232113,0.016520325458783233,0.16429741326584937,0.005503219315068335
normal,False,normal,True,mini-batch,zeros,0.001,0.501232063311191,0.01801518369352994,0.1150161720026174,0.004856034474901685
ridge,False,ridge,True,mini-batch,zeros,0.001,0.5012347533641909,0.01801526570983913,0.11501142206285905,0.00485595769779232
lasso,False,lasso,True,mini-batch,zeros,0.001,0.5013858916571108,0.01801929781060377,0.11474453199668815,0.004848621626273514
normal,False,normal,False,mini-batch,zeros,0.0001,0.5024114367589095,0.017729393446112095,0.11292393657493485,0.002853671794740314
ridge,False,ridge,False,mini-batch,zeros,0.0001,0.5024139251721398,0.017729469952721434,0.11291954263441428,0.0028535729587448495
